25-01-13 17:40:35.825 [restartedMain] INFO  c.d.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.2 with PID 11512 (/Users/devsa/Documents/Sprint Boot/Projects/journalApp/target/classes started by devsa in /Users/devsa/Documents/Sprint Boot/Projects/journalApp)
25-01-13 17:40:35.828 [restartedMain] INFO  c.d.journalApp.JournalApplication - The following 1 profile is active: "dev"
25-01-13 17:40:35.858 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-01-13 17:40:35.858 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-01-13 17:40:36.137 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-01-13 17:40:36.170 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 3 MongoDB repository interfaces.
25-01-13 17:40:36.394 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
25-01-13 17:40:36.399 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
25-01-13 17:40:36.401 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
25-01-13 17:40:36.401 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
25-01-13 17:40:36.419 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
25-01-13 17:40:36.419 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 561 ms
25-01-13 17:40:36.578 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.2"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='devpanwar', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@6e638735, com.mongodb.Jep395RecordCodecProvider@2e1d6784, com.mongodb.KotlinCodecProvider@4818836f]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.re3e6.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-b2d2sm-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
25-01-13 17:40:36.637 [cluster-ClusterId{value='678502bc172435179fce70b0', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.re3e6.mongodb.net:27017 to client view of cluster
25-01-13 17:40:36.649 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
25-01-13 17:40:36.650 [cluster-ClusterId{value='678502bc172435179fce70b0', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.re3e6.mongodb.net:27017 to client view of cluster
25-01-13 17:40:36.651 [cluster-ClusterId{value='678502bc172435179fce70b0', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.re3e6.mongodb.net:27017 to client view of cluster
25-01-13 17:40:36.715 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-01.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
25-01-13 17:40:37.053 [cluster-ClusterId{value='678502bc172435179fce70b0', description='Cluster0'}-cluster0-shard-00-01.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.re3e6.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=244975916, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-01.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000bb, setVersion=203, topologyVersion=TopologyVersion{processId=6784c658f8ba36a716b01be1, counter=9}, lastWriteDate=Mon Jan 13 17:40:36 IST 2025, lastUpdateTimeNanos=39927673907708}
25-01-13 17:40:37.053 [cluster-ClusterId{value='678502bc172435179fce70b0', description='Cluster0'}-cluster0-shard-00-02.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=244975916, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-02.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=203, topologyVersion=TopologyVersion{processId=6784c8d2fa9dd91473d3d8e4, counter=5}, lastWriteDate=Mon Jan 13 17:40:36 IST 2025, lastUpdateTimeNanos=39927673907708}
25-01-13 17:40:37.053 [cluster-ClusterId{value='678502bc172435179fce70b0', description='Cluster0'}-cluster0-shard-00-00.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.re3e6.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=244972833, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-00.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=203, topologyVersion=TopologyVersion{processId=6784c7805d0cef4bcf022bb0, counter=5}, lastWriteDate=Mon Jan 13 17:40:36 IST 2025, lastUpdateTimeNanos=39927673907666}
25-01-13 17:40:37.054 [cluster-ClusterId{value='678502bc172435179fce70b0', description='Cluster0'}-cluster0-shard-00-01.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.re3e6.mongodb.net:27017 with max election id 7fffffff00000000000000bb and max set version 203
25-01-13 17:40:37.716 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
25-01-13 17:40:37.892 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
25-01-13 17:40:37.900 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
25-01-13 17:40:37.906 [restartedMain] INFO  c.d.journalApp.JournalApplication - Started JournalApplication in 2.274 seconds (process running for 2.605)
